product_id,name,price_pkr,image_url,image_path
3748,Untitled,70000.0,https://artreserves.com/wp-content/uploads/2021/06/IMG-7431-scaled.jpg,data/images/3748_untitled-161.jpg
3589,Untitled,10000.0,https://artreserves.com/wp-content/uploads/2021/06/IMG-7337-scaled.jpg,data/images/3589_untitled-104.jpg
3621,Untitled,12000.0,https://artreserves.com/wp-content/uploads/2021/06/IMG-7357-scaled.jpg,data/images/3621_untitled-119.jpg
7032,LOVE,15000.0,https://artreserves.com/wp-content/uploads/2022/01/HRP_7053-scaled.jpg,data/images/7032_love-3.jpg
6997,Hard Work,10000.0,https://artreserves.com/wp-content/uploads/2022/01/HRP_6998-scaled.jpg,data/images/6997_hard-work.jpg
3665,Untitled,6000.0,https://artreserves.com/wp-content/uploads/2021/06/IMG-7376-scaled.jpg,data/images/3665_untitled-133.jpg
7028,WILD LIFE,9000.0,https://artreserves.com/wp-content/uploads/2022/01/HRP_7046-scaled.jpg,data/images/7028_wild-life.jpg
4094,Pen (Freedom In Jail),300.0,https://artreserves.com/wp-content/uploads/2021/06/Rs.-300-per-piece-2.jpg,data/images/4094_644094.jpg
3688,Untitled,9000.0,https://artreserves.com/wp-content/uploads/2021/06/IMG-7391-scaled.jpg,data/images/3688_untitled-144.jpg
7026,UNTITLED,9000.0,https://artreserves.com/wp-content/uploads/2022/01/HRP_7028-scaled.jpg,data/images/7026_untitled-187.jpg
6986,Visitor,12000.0,https://artreserves.com/wp-content/uploads/2022/01/HRP_7006-scaled.jpg,data/images/6986_visitor.jpg
3597,Untitled,8000.0,https://artreserves.com/wp-content/uploads/2021/06/IMG-7341-scaled.jpg,data/images/3597_untitled-108.jpg
3660,Untitled,12000.0,https://artreserves.com/wp-content/uploads/2021/06/IMG-7373-scaled.jpg,data/images/3660_untitled-130.jpg
7038,Cultural,10000.0,https://artreserves.com/wp-content/uploads/2022/01/HRP_7056-scaled.jpg,data/images/7038_cultural.jpg
